asn,prefix,as_path
34751,1.2.0.0/16,198934 174 5738 10753 1 1
42930,1.2.0.0/16,198826 20640 25418 1 1
56379,1.2.0.0/16,198816 28917 20640 25418 1 1
47593,1.2.0.0/16,198816 28917 20640 25418 1 1
5581,1.2.0.0/16,198816 28917 20640 25418 1 1
204252,1.2.0.0/16,198726 20640 25418 1 1
204138,1.2.0.0/16,198726 20640 25418 1 1
43449,1.2.0.0/16,198720 3255 20640 25418 1 1
203333,1.2.0.0/16,198710 1299 7029 63264 1 1
198621,1.2.0.0/16,198605 6939 13536 5738 10753 1 1
60994,1.2.0.0/16,198545 3549 10753 1 1
198188,1.2.0.0/16,198477 6762 4657 12025 10753 1 1
60342,1.2.0.0/16,198477 6762 4657 12025 10753 1 1
29162,1.2.0.0/16,198477 6762 4657 12025 10753 1 1
203058,1.2.0.0/16,198435 43531 5738 10753 1 1
203007,1.2.0.0/16,198435 43531 5738 10753 1 1
202096,1.2.0.0/16,198435 43531 5738 10753 1 1
199792,1.2.0.0/16,198435 43531 5738 10753 1 1
199579,1.2.0.0/16,198435 43531 5738 10753 1 1
20648,1.2.0.0/16,198432 174 5738 10753 1 1
204082,1.2.0.0/16,198385 43531 5738 10753 1 1
199229,1.2.0.0/16,198385 43531 5738 10753 1 1
61309,1.2.0.0/16,198385 43531 5738 10753 1 1
30817,1.2.0.0/16,198378 13249 20640 25418 1 1
203487,1.2.0.0/16,198371 20640 25418 1 1
203102,1.2.0.0/16,198357 12880 6453 25418 1 1
198438,1.2.0.0/16,198297 3267 20640 25418 1 1
51081,1.2.0.0/16,198297 3267 20640 25418 1 1
202650,1.2.0.0/16,198295 6939 13536 5738 10753 1 1
6843,1.2.0.0/16,198279 174 5738 10753 1 1
202632,1.2.0.0/16,198252 25144 6453 25418 1 1
201057,1.2.0.0/16,198243 49282 16086 3549 10753 1 1
203594,1.2.0.0/16,198230 16265 32787 10753 1 1
201361,1.2.0.0/16,198225 13237 286 25418 1 1
200806,1.2.0.0/16,198171 42000 6939 13536 5738 10753 1 1
198129,1.2.0.0/16,198157 5384 8966 200612 15802 57187 43531 5738 10753 1 1
48430,1.2.0.0/16,198070 31323 9002 286 25418 1 1
44676,1.2.0.0/16,198070 31323 9002 286 25418 1 1
201035,1.2.0.0/16,197999 20640 25418 1 1
43771,1.2.0.0/16,197999 20640 25418 1 1
34502,1.2.0.0/16,197999 20640 25418 1 1
203885,1.2.0.0/16,197981 20640 25418 1 1
21448,1.2.0.0/16,197898 3549 10753 1 1
201145,1.2.0.0/16,197882 21277 3549 10753 1 1
198547,1.2.0.0/16,197804 5588 286 25418 1 1
197854,1.2.0.0/16,197804 5588 286 25418 1 1
197220,1.2.0.0/16,197804 5588 286 25418 1 1
25313,1.2.0.0/16,197804 5588 286 25418 1 1
197294,1.2.0.0/16,197764 6939 13536 5738 10753 1 1
196732,1.2.0.0/16,197750 6830 286 25418 1 1
203244,1.2.0.0/16,197740 43833 6939 13536 5738 10753 1 1
201335,1.2.0.0/16,197696 43531 5738 10753 1 1
51162,1.2.0.0/16,197686 43994 12695 20640 25418 1 1
44653,1.2.0.0/16,197686 43994 12695 20640 25418 1 1
204245,1.2.0.0/16,197680 5588 286 25418 1 1
54138,1.2.0.0/16,197640 6461 26114 1 1
50351,1.2.0.0/16,197636 1764 20640 25418 1 1
43326,1.2.0.0/16,197595 43531 5738 10753 1 1
49991,1.2.0.0/16,197589 43531 5738 10753 1 1
52074,1.2.0.0/16,197522 3255 20640 25418 1 1
197751,1.2.0.0/16,197520 13249 20640 25418 1 1
47346,1.2.0.0/16,197501 15640 8359 20640 25418 1 1
6671,1.2.0.0/16,197467 3267 20640 25418 1 1
28752,1.2.0.0/16,197453 29076 20640 25418 1 1
207239,1.2.0.0/16,197451 5588 286 25418 1 1
203385,1.2.0.0/16,197451 5588 286 25418 1 1
202872,1.2.0.0/16,197451 5588 286 25418 1 1
201263,1.2.0.0/16,197451 5588 286 25418 1 1
201228,1.2.0.0/16,197451 5588 286 25418 1 1
56119,1.2.0.0/16,197426 20640 25418 1 1
51358,1.2.0.0/16,197426 20640 25418 1 1
24414,1.2.0.0/16,197426 20640 25418 1 1
24142,1.2.0.0/16,197426 20640 25418 1 1
17440,1.2.0.0/16,197426 20640 25418 1 1
10123,1.2.0.0/16,197426 20640 25418 1 1
9804,1.2.0.0/16,197426 20640 25418 1 1
3266,1.2.0.0/16,197426 20640 25418 1 1
198646,1.2.0.0/16,197377 6939 13536 5738 10753 1 1
61043,1.2.0.0/16,197298 20640 25418 1 1
56426,1.2.0.0/16,197298 20640 25418 1 1
50301,1.2.0.0/16,197284 6939 13536 5738 10753 1 1
203944,1.2.0.0/16,197264 20640 25418 1 1
203789,1.2.0.0/16,197264 20640 25418 1 1
200533,1.2.0.0/16,197216 8262 3356 10753 1 1
38990,1.2.0.0/16,197212 2119 286 25418 1 1
199119,1.2.0.0/16,197169 31566 25478 20640 25418 1 1
200088,1.2.0.0/16,197155 6939 13536 5738 10753 1 1
61236,1.2.0.0/16,197133 6939 13536 5738 10753 1 1
41605,1.2.0.0/16,197133 6939 13536 5738 10753 1 1
20493,1.2.0.0/16,197133 6939 13536 5738 10753 1 1
42029,1.2.0.0/16,197116 1257 286 25418 1 1
200920,1.2.0.0/16,197091 16265 32787 10753 1 1
51079,1.2.0.0/16,197091 16265 32787 10753 1 1
42547,1.2.0.0/16,197091 16265 32787 10753 1 1
44425,1.2.0.0/16,197078 28917 20640 25418 1 1
200615,1.2.0.0/16,197071 20640 25418 1 1
197890,1.2.0.0/16,197071 20640 25418 1 1
200847,1.2.0.0/16,197068 2828 10753 1 1
200449,1.2.0.0/16,197068 2828 10753 1 1
60702,1.2.0.0/16,197068 2828 10753 1 1
34302,1.2.0.0/16,197013 6939 13536 5738 10753 1 1
199127,1.2.0.0/16,197002 21497 16265 32787 10753 1 1
197578,1.2.0.0/16,196977 3261 16265 32787 10753 1 1
60918,1.2.0.0/16,196957 62206 16265 32787 10753 1 1
197567,1.2.0.0/16,196938 48293 20640 25418 1 1
196961,1.2.0.0/16,196925 20640 25418 1 1
61304,1.2.0.0/16,196925 20640 25418 1 1
42779,1.2.0.0/16,196925 20640 25418 1 1
49679,1.2.0.0/16,196914 2854 20640 25418 1 1
42131,1.2.0.0/16,196883 6939 13536 5738 10753 1 1
197314,1.2.0.0/16,196863 35297 20640 25418 1 1
201143,1.2.0.0/16,196826 16265 32787 10753 1 1
28873,1.2.0.0/16,196807 8717 20640 25418 1 1
50310,1.2.0.0/16,196777 35297 20640 25418 1 1
199424,1.2.0.0/16,196763 9063 2828 10753 1 1
60351,1.2.0.0/16,196763 9063 2828 10753 1 1
34281,1.2.0.0/16,196753 1267 20640 25418 1 1
200114,1.2.0.0/16,196735 6939 13536 5738 10753 1 1
197542,1.2.0.0/16,196735 6939 13536 5738 10753 1 1
50696,1.2.0.0/16,196714 3209 286 25418 1 1
16277,1.2.0.0/16,196714 3209 286 25418 1 1
35533,1.2.0.0/16,196705 6789 8359 20640 25418 1 1
24925,1.2.0.0/16,196695 12389 4809 15412 15802 57187 43531 5738 10753 1 1
51319,1.2.0.0/16,196655 47605 3549 10753 1 1
12809,1.2.0.0/16,196638 28917 20640 25418 1 1
45939,1.2.0.0/16,135523 9260 17557 3549 10753 1 1
